MaxTemp,MinTemp,MeanTemp
25.55555556,22.22222222,23.88888889
28.88888889,21.66666667,25.55555556
26.11111111,22.22222222,24.44444444
26.66666667,22.22222222,24.44444444
26.66666667,21.66666667,24.44444444
26.66666667,21.66666667,24.44444444
28.33333333,22.77777778,25.55555556
26.66666667,22.22222222,24.44444444
27.22222222,22.77777778,25.0
25.55555556,21.66666667,23.33333333
25.55555556,21.66666667,23.33333333
24.44444444,22.22222222,23.33333333
26.11111111,21.66666667,23.88888889
26.11111111,22.22222222,24.44444444
25.55555556,22.77777778,24.44444444
26.11111111,21.11111111,23.33333333
28.33333333,22.22222222,25.55555556
26.66666667,21.11111111,23.88888889
27.77777778,21.66666667,24.44444444
26.11111111,20.0,23.33333333
24.44444444,21.66666667,23.33333333
24.44444444,21.11111111,22.77777778
26.66666667,20.55555556,23.33333333
27.22222222,18.88888889,23.33333333
27.22222222,19.44444444,23.33333333
25.55555556,19.44444444,22.22222222
25.55555556,19.44444444,22.77777778
26.66666667,19.44444444,23.33333333
26.66666667,19.44444444,23.33333333
27.22222222,19.44444444,23.33333333
27.22222222,19.44444444,23.33333333
26.11111111,20.0,23.33333333
24.44444444,20.55555556,22.22222222
24.44444444,20.55555556,22.22222222
26.66666667,21.11111111,23.88888889
26.66666667,21.11111111,23.88888889
24.44444444,21.66666667,23.33333333
24.44444444,21.11111111,22.77777778
26.11111111,20.55555556,23.33333333
26.11111111,20.55555556,23.33333333
27.22222222,21.66666667,24.44444444
25.0,21.66666667,23.33333333
25.55555556,20.55555556,23.33333333
25.55555556,20.55555556,23.33333333
25.55555556,20.0,22.77777778
25.55555556,17.77777778,21.66666667
25.55555556,19.44444444,22.22222222
25.55555556,20.0,22.77777778
26.11111111,20.55555556,23.33333333
27.77777778,20.55555556,24.44444444
23.88888889,20.55555556,22.22222222
32.77777778,20.0,23.33333333
27.22222222,20.55555556,23.33333333
25.0,20.55555556,22.77777778
27.77777778,20.55555556,24.44444444
26.66666667,20.0,23.33333333
27.22222222,20.55555556,23.88888889
27.22222222,20.55555556,23.88888889
27.22222222,20.55555556,23.88888889
25.0,21.11111111,23.33333333
27.22222222,20.55555556,23.88888889
27.22222222,21.11111111,23.88888889
27.22222222,21.11111111,24.44444444
27.22222222,22.22222222,25.0
27.22222222,21.11111111,24.44444444
27.22222222,21.11111111,24.44444444
27.22222222,22.22222222,24.44444444
26.66666667,22.22222222,24.44444444
26.66666667,21.66666667,24.44444444
27.22222222,21.11111111,24.44444444
26.66666667,21.66666667,24.44444444
28.33333333,21.11111111,24.44444444
26.11111111,21.11111111,23.33333333
27.22222222,21.66666667,24.44444444
27.22222222,21.66666667,24.44444444
27.77777778,22.77777778,25.55555556
27.77777778,22.77777778,25.55555556
30.0,21.66666667,25.55555556
27.77777778,22.22222222,25.0
31.11111111,21.11111111,26.11111111
34.44444444,22.22222222,28.33333333
30.55555556,21.66666667,26.11111111
29.44444444,22.22222222,26.11111111
30.55555556,22.22222222,26.66666667
26.11111111,23.33333333,25.0
25.55555556,22.22222222,23.88888889
30.55555556,21.66666667,26.11111111
31.66666667,22.22222222,27.22222222
31.66666667,21.11111111,26.66666667
